language,t2i.recall@1,t2i.recall@5,t2i.recall@10,i2t.recall@1,i2t.recall@5,i2t.recall@10,t2i.ndcg@20,i2t.ndcg@20
ar,0.227,0.449,0.558,0.379,0.633,0.735,0.639,0.531
de,0.317,0.569,0.674,0.504,0.754,0.836,0.806,0.774
en,0.378,0.635,0.735,0.535,0.780,0.864,1.000,1.000
es,0.326,0.580,0.688,0.492,0.743,0.830,0.849,0.771
fa,0.240,0.470,0.578,0.409,0.665,0.769,0.667,0.580
fr,0.313,0.565,0.674,0.465,0.713,0.807,0.823,0.729
he,0.237,0.463,0.570,0.378,0.631,0.735,0.657,0.540
hi,0.207,0.425,0.537,0.354,0.612,0.718,0.616,0.490
hy,0.056,0.143,0.202,0.118,0.263,0.354,0.204,0.159
id,0.269,0.514,0.627,0.432,0.696,0.788,0.733,0.650
it,0.313,0.567,0.671,0.463,0.715,0.805,0.811,0.701
ja,0.274,0.515,0.626,0.402,0.657,0.756,0.737,0.595
ko,0.244,0.481,0.592,0.335,0.588,0.701,0.686,0.488
pl,0.292,0.539,0.647,0.430,0.681,0.774,0.764,0.645
pt,0.316,0.571,0.679,0.461,0.711,0.801,0.832,0.725
ru,0.299,0.548,0.658,0.432,0.694,0.784,0.777,0.654
th,0.215,0.430,0.537,0.362,0.610,0.716,0.606,0.501
tr,0.255,0.491,0.603,0.424,0.675,0.778,0.701,0.607
uk,0.260,0.499,0.609,0.432,0.688,0.783,0.704,0.620
vi,0.254,0.492,0.603,0.436,0.684,0.777,0.697,0.629
zh,0.273,0.513,0.621,0.448,0.698,0.791,0.731,0.637
all,0.265 ± 0.064,0.498 ± 0.098,0.604 ± 0.106,0.414 ± 0.084,0.662 ± 0.103,0.757 ± 0.101,0.716 ± 0.149,0.620 ± 0.158
google,0.274 ± 0.063,0.511 ± 0.095,0.617 ± 0.103,0.425 ± 0.083,0.672 ± 0.100,0.766 ± 0.097,0.732 ± 0.145,0.639 ± 0.155
bing,0.272 ± 0.064,0.508 ± 0.098,0.614 ± 0.106,0.423 ± 0.084,0.671 ± 0.104,0.766 ± 0.101,0.730 ± 0.149,0.637 ± 0.157
nllb,0.249 ± 0.067,0.475 ± 0.103,0.582 ± 0.112,0.393 ± 0.089,0.641 ± 0.109,0.739 ± 0.107,0.686 ± 0.158,0.585 ± 0.167
