language,t2i.recall@1,t2i.recall@5,t2i.recall@10,i2t.recall@1,i2t.recall@5,i2t.recall@10,t2i.ndcg@20,i2t.ndcg@20,meta
ar,0.311,0.571,0.684,0.344,0.605,0.710,0.856,0.703,google
ar,0.331,0.597,0.711,0.361,0.626,0.736,0.896,0.745,nllb
ar,0.308,0.568,0.682,0.346,0.599,0.706,0.852,0.705,bing
de,0.352,0.622,0.734,0.385,0.661,0.762,0.925,0.805,google
de,0.353,0.627,0.737,0.392,0.660,0.759,0.937,0.818,nllb
de,0.347,0.617,0.728,0.387,0.664,0.762,0.919,0.800,bing
en,0.377,0.650,0.759,0.432,0.690,0.785,1.000,1.000,google
en,0.377,0.650,0.759,0.432,0.690,0.785,1.000,1.000,bing
en,0.377,0.650,0.759,0.432,0.690,0.785,1.000,1.000,nllb
es,0.352,0.622,0.732,0.391,0.661,0.765,0.931,0.835,google
es,0.356,0.628,0.737,0.399,0.662,0.764,0.936,0.844,bing
es,0.361,0.635,0.743,0.397,0.665,0.770,0.951,0.856,nllb
fa,0.291,0.549,0.665,0.324,0.577,0.683,0.834,0.657,google
fa,0.295,0.555,0.671,0.333,0.592,0.698,0.843,0.665,nllb
fa,0.279,0.534,0.649,0.306,0.563,0.668,0.815,0.643,bing
fr,0.355,0.624,0.732,0.396,0.654,0.760,0.928,0.815,google
fr,0.357,0.632,0.739,0.402,0.667,0.763,0.945,0.840,nllb
fr,0.352,0.622,0.728,0.394,0.656,0.758,0.924,0.802,bing
he,0.261,0.511,0.629,0.294,0.528,0.641,0.778,0.582,google
he,0.261,0.511,0.628,0.286,0.523,0.639,0.778,0.578,bing
he,0.278,0.532,0.649,0.306,0.560,0.679,0.816,0.630,nllb
hi,0.315,0.583,0.698,0.348,0.610,0.722,0.885,0.718,bing
hi,0.308,0.574,0.691,0.342,0.608,0.715,0.871,0.700,google
hi,0.315,0.582,0.697,0.351,0.615,0.720,0.880,0.726,nllb
hy,0.216,0.440,0.551,0.241,0.458,0.562,0.682,0.484,bing
hy,0.222,0.452,0.564,0.240,0.457,0.561,0.696,0.500,google
hy,0.222,0.449,0.565,0.252,0.483,0.602,0.695,0.497,nllb
id,0.301,0.563,0.678,0.338,0.586,0.695,0.859,0.695,google
id,0.318,0.584,0.699,0.356,0.616,0.721,0.888,0.749,nllb
id,0.302,0.563,0.680,0.333,0.593,0.698,0.861,0.703,bing
it,0.344,0.614,0.724,0.378,0.654,0.752,0.921,0.811,google
it,0.348,0.620,0.731,0.386,0.656,0.753,0.928,0.820,bing
it,0.355,0.629,0.738,0.390,0.662,0.763,0.943,0.847,nllb
ja,0.324,0.590,0.703,0.353,0.615,0.714,0.881,0.719,bing
ja,0.323,0.590,0.703,0.357,0.611,0.712,0.877,0.707,google
ja,0.332,0.596,0.710,0.371,0.632,0.744,0.897,0.756,nllb
ko,0.325,0.593,0.709,0.373,0.630,0.737,0.890,0.737,nllb
ko,0.311,0.573,0.685,0.349,0.608,0.709,0.861,0.699,bing
ko,0.308,0.569,0.683,0.346,0.602,0.707,0.856,0.693,google
pl,0.333,0.599,0.709,0.365,0.628,0.738,0.891,0.738,bing
pl,0.344,0.610,0.723,0.380,0.642,0.751,0.913,0.775,nllb
pl,0.330,0.596,0.709,0.368,0.623,0.737,0.889,0.738,google
pt,0.321,0.590,0.703,0.358,0.616,0.728,0.888,0.760,bing
pt,0.335,0.607,0.721,0.379,0.641,0.746,0.914,0.788,nllb
pt,0.324,0.591,0.705,0.359,0.621,0.729,0.887,0.751,google
ru,0.335,0.604,0.716,0.378,0.632,0.740,0.897,0.746,bing
ru,0.345,0.616,0.729,0.390,0.646,0.746,0.920,0.791,nllb
ru,0.337,0.606,0.716,0.374,0.639,0.740,0.900,0.749,google
th,0.288,0.548,0.662,0.326,0.574,0.687,0.827,0.648,google
th,0.280,0.535,0.648,0.308,0.568,0.681,0.804,0.611,nllb
th,0.293,0.554,0.669,0.325,0.585,0.692,0.836,0.669,bing
tr,0.341,0.611,0.722,0.384,0.646,0.748,0.914,0.777,nllb
tr,0.323,0.587,0.700,0.362,0.624,0.735,0.889,0.756,bing
tr,0.325,0.590,0.703,0.365,0.630,0.736,0.891,0.751,google
uk,0.301,0.559,0.674,0.339,0.585,0.696,0.838,0.659,google
uk,0.299,0.558,0.673,0.333,0.582,0.698,0.840,0.663,bing
uk,0.317,0.584,0.698,0.347,0.615,0.726,0.875,0.715,nllb
vi,0.279,0.533,0.650,0.322,0.557,0.671,0.808,0.644,google
vi,0.297,0.557,0.674,0.336,0.589,0.704,0.846,0.695,nllb
vi,0.274,0.527,0.641,0.315,0.548,0.659,0.800,0.635,bing
zh,0.327,0.597,0.712,0.348,0.614,0.716,0.884,0.699,google
zh,0.322,0.593,0.705,0.347,0.601,0.714,0.882,0.703,bing
zh,0.316,0.580,0.696,0.354,0.622,0.725,0.875,0.722,nllb
